Trial,Phrase,Condition,Experiment,Number,Quantifier,Group
44,The boy at each campground  ,Exp 2 sg  Each,Exp2,sg,Each,9
45,The secretary for each program  ,Exp 2 sg  Each,Exp2,sg,Each,9
46,The key to each cabinet  ,Exp 2 sg  Each,Exp2,sg,Each,9
47,The applicant for each scholarship  ,Exp 2 sg  Each,Exp2,sg,Each,9
48,The helicopter for each flight  ,Exp 2 sg  Each,Exp2,sg,Each,9
49,One design of the engine  ,Exp 1 sg  One,Exp1,sg,One,9
50,One politician at the meeting  ,Exp 1 sg  One,Exp1,sg,One,9
51,One representative from the union,Exp 1 sg  One,Exp1,sg,One,9
52,One professor with the award  ,Exp 1 sg  One,Exp1,sg,One,9
53,One church near the hill,Exp 1 sg  One,Exp1,sg,One,9
54,One wall with the decoration,Exp 1 sg  One,Exp1,sg,One,9
55,One baby on the photo,Exp 1 sg  One,Exp1,sg,One,9
56,One mechanic of the motorcycle,Exp 1 sg  One,Exp1,sg,One,9
57,Every cage with the gorilla,Exp 1 sg  Every,Exp1,sg,Every,9
58,Every road to the mountain,Exp 1 sg  Every,Exp1,sg,Every,9
59,Every cup for the winner,Exp 1 sg  Every,Exp1,sg,Every,9
60,Every owner of the suitcase,Exp 1 sg  Every,Exp1,sg,Every,9
61,Every director of the film,Exp 1 sg  Every,Exp1,sg,Every,9
62,Every box with the cookie,Exp 1 sg  Every,Exp1,sg,Every,9
63,Every commuter near the car,Exp 1 sg  Every,Exp1,sg,Every,9
64,Every delinquent near the motorcycle,Exp 1 sg  Every,Exp1,sg,Every,9
65,Each servant in the mansion,Exp 1 sg  Each,Exp1,sg,Each,9
66,Each child with the new bicycle,Exp 1 sg  Each,Exp1,sg,Each,9
67,Each celebrity with the limousine,Exp 1 sg  Each,Exp1,sg,Each,9
68,Each girl near the tent,Exp 1 sg  Each,Exp1,sg,Each,9
69,Each student at the  table,Exp 1 sg  Each,Exp1,sg,Each,9
70,Each cowboy near the horse,Exp 1 sg  Each,Exp1,sg,Each,9
71,Each criminal behind the  attack,Exp 1 sg  Each,Exp1,sg,Each,9
72,Each singer at the  concert,Exp 1 sg  Each,Exp1,sg,Each,9
73,The ships near one  island,Exp 2 pl  One,Exp2,pl,One,9
74,The bees near one flower,Exp 2 pl  One,Exp2,pl,One,9
75,The soldiers across one  field,Exp 2 pl  One,Exp2,pl,One,9
76,The musicians beside one  dancer,Exp 2 pl  One,Exp2,pl,One,9
77,The cows by one tractor,Exp 2 pl  One,Exp2,pl,One,9
78,The birds near one  bush,Exp 2 pl  One,Exp2,pl,One,9
79,The speakers from one  school,Exp 2 pl  One,Exp2,pl,One,9
80,The leaders behind one  proposal,Exp 2 pl  One,Exp2,pl,One,9
81,The friends of every editor  ,Exp 2 pl  Every,Exp2,pl,Every,9
82,The agents on every step,Exp 2 pl  Every,Exp2,pl,Every,9
83,The cheques from every stockbroker,Exp 2 pl  Every,Exp2,pl,Every,9
84,The blankets on every baby,Exp 2 pl  Every,Exp2,pl,Every,9
85,The books by every computer,Exp 2 pl  Every,Exp2,pl,Every,9
86,The bananas for every monkey,Exp 2 pl  Every,Exp2,pl,Every,9
87,The vases for every flower,Exp 2 pl  Every,Exp2,pl,Every,9
88,The trails across every forest,Exp 2 pl  Every,Exp2,pl,Every,9
89,The songs by each composer,Exp 2 pl  Each,Exp2,pl,Each,9
90,The hotels by each lake,Exp 2 pl  Each,Exp2,pl,Each,9
91,The pictures of each athlete,Exp 2 pl  Each,Exp2,pl,Each,9
92,The trials of each criminal,Exp 2 pl  Each,Exp2,pl,Each,9
93,The shows about each popstar,Exp 2 pl  Each,Exp2,pl,Each,9
94,The bedrooms for each guest,Exp 2 pl  Each,Exp2,pl,Each,9
95,The  boats of each fisherman ,Exp 2 pl  Each,Exp2,pl,Each,9
96,The  cards underneath each newspaper,Exp 2 pl  Each,Exp2,pl,Each,9
97,One  car of the burglar,Exp 1 sg  One,Exp1,sg,One,9
98,Each  dog by the barns ,Exp 1 pl  Each,Exp1,pl,Each,9
99,The  goats by every ditch,Exp 2 pl  Every,Exp2,pl,Every,9
100,The  swimming pool with each slide ,Exp 2 sg  Each,Exp2,sg,Each,9
